y_pred,y_test
0.3119626,0.0
0.39670557,1.0
0.31502542,0.0
0.63678753,1.0
0.33304745,1.0
0.74502206,1.0
0.6064474,1.0
0.332758,1.0
0.664485,1.0
0.32908395,1.0
0.7013983,0.0
0.24216598,1.0
0.75552034,0.0
0.4371413,1.0
0.45382982,0.0
0.16625795,0.0
0.67977744,1.0
0.18275698,0.0
0.7123327,1.0
0.5465903,1.0
0.3810012,1.0
0.6222723,1.0
0.9130057,1.0
0.33352968,0.0
0.40816408,0.0
0.8319681,1.0
0.24302934,0.0
0.78588855,1.0
0.54000974,1.0
0.3751678,0.0
0.69357735,1.0
0.10862313,0.0
0.14902118,0.0
0.20743835,0.0
0.8070768,0.0
0.66649634,1.0
0.13090418,0.0
0.8047185,0.0
0.8184519,1.0
0.1968777,0.0
0.47433367,1.0
0.6644129,1.0
0.19675933,0.0
0.16356727,0.0
0.48410994,1.0
0.74430364,1.0
0.7307264,1.0
0.7835304,1.0
0.63514656,1.0
0.8163356,1.0
0.7763631,1.0
0.7410965,0.0
0.32484746,1.0
0.70924616,1.0
0.7818109,1.0
0.82794917,1.0
0.33860672,0.0
0.21117382,1.0
0.21592727,1.0
0.6507919,1.0
0.16791274,0.0
0.6922829,1.0
0.6809595,1.0
0.3000483,0.0
0.5760096,1.0
0.854985,1.0
0.7278018,1.0
0.57587856,1.0
0.65478677,1.0
0.6439282,1.0
0.47111404,0.0
0.17673181,0.0
0.80507696,1.0
0.6324376,1.0
0.58448654,0.0
0.17630406,0.0
0.36426142,0.0
0.2562719,0.0
0.453031,0.0
0.6350839,0.0
0.55936396,1.0
0.24640957,1.0
0.46498626,0.0
0.42762882,0.0
0.76029325,1.0
0.43762708,0.0
0.73336434,1.0
0.14497271,0.0
0.26082048,1.0
0.6753862,1.0
0.13182048,0.0
0.68240124,1.0
0.3869061,0.0
0.62242925,0.0
0.7538758,0.0
0.6294095,1.0
0.3177472,0.0
0.25051147,0.0
0.26681176,0.0
0.5268086,1.0
0.32888597,0.0
0.5560504,1.0
0.755539,1.0
0.6530944,1.0
0.77180237,1.0
0.19754249,0.0
0.2557872,0.0
0.35727897,0.0
0.37753066,0.0
0.52362555,1.0
0.49447942,1.0
0.75592977,1.0
0.8682023,1.0
0.7515318,1.0
0.43801627,0.0
0.6116382,0.0
0.93930215,1.0
0.27604863,0.0
0.530854,1.0
0.7872672,0.0
0.5913686,1.0
0.28701213,0.0
0.60206807,1.0
0.76004833,1.0
0.27488393,0.0
