RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
1.0,55.0,144.0,2.321928094887362,84.0,20.0,2.0,83.0,2.0,3.0,5.0,23.0,1.0,43.0,0.0,0.0,33.0,62.833333333333336,8.0,1.0,1.0,69.0
1.0,61.0,58.0,4.0,41.0,2.0,2.321928094887362,100.0,24.833333333333332,0.0,8.0,7.0,0.0,67.0,0.0,0.0,0.0,76.16666666666667,0.0,1.0974937501201927,0.0,0.0
1.0,67.0,66.0,2.584962500721156,24.0,9.0,0.0,100.0,29.333333333333332,7.0,8.0,9.0,4.0,44.0,0.0,2.321928094887362,53.0,66.0,4.0,1.584962500721156,1.0,86.0
1.0,66.0,169.0,1.0,73.0,28.0,1.0,93.0,76.0,6.0,6.0,30.0,3.0,57.0,0.0,2.584962500721156,72.0,83.0,6.0,2.321928094887362,2.0,91.0
1.0,81.0,333.0,4.807354922057604,132.0,12.0,0.0,100.0,31.166666666666668,7.0,8.0,12.0,0.0,25.0,0.0,1.0,51.0,89.0,3.0,1.0,0.0,80.0
1.0,59.0,137.0,3.584962500721156,78.0,31.0,0.0,91.0,1.0,4.0,6.0,32.0,1.0,47.0,0.0,0.0,62.0,93.0,12.0,2.321928094887362,2.0,94.0
0.0,54.0,88.0,3.0,37.0,25.0,0.0,92.0,9.0,4.0,6.0,26.0,3.0,58.0,0.0,2.321928094887362,89.0,76.0,7.0,3.0,1.584962500721156,100.0
0.0,68.0,148.0,3.0,65.0,17.0,0.0,83.0,31.0,6.0,6.0,18.0,1.0,44.0,0.0,0.0,28.0,48.0,2.0,1.584962500721156,1.584962500721156,40.0
1.0,59.0,324.0,1.584962500721156,138.0,24.0,0.0,85.0,5.0,4.0,6.0,27.0,1.0,26.0,0.0,1.0,68.0,77.66666666666667,7.0,1.0,2.0,90.0
1.0,61.0,79.0,2.321928094887362,36.0,19.0,0.0,95.0,5.0,4.0,6.0,19.0,3.0,26.0,0.0,2.807354922057604,31.0,86.0,5.0,2.0,1.0,62.0
